Dato;Track;Race Number;Distance;Surface;Prize money;Starting position;Jockey;Jockey weight;Country;Horse age;TrainerName;Race time;Path;Final place;FGrating;Odds;RaceType;HorseId;JockeyId;TrainerID
02.12.2018;Sha Tin;3;1800;Dirt;920000;1;C Schofield;57;Sverige;8;CH Yip;109,26;0;3;116;5,7;Handicap;1736;8655;6687
23.12.2018;Sha Tin;2;2000;Gress;920000;6;Silvestre De Sousa;59;Sverige;8;CH Yip;123,99;3;1;122;3,8;Handicap;1736;4340;6687
17.02.2019;Sha Tin;1;2000;Gress;920000;4;C Wong;57;Sverige;9;CH Yip;124,12;4;6;117;8,6;Handicap;1736;8774;6687
06.12.2017;Happy Valley;9;1800;Gress;1860000;5;Z Purton;55;Danmark;5;CS Shum;109,58;3;6;131;5,4;Handicap;10394;8650;6685
01.10.2017;Sha Tin;7;1000;Gress;3000000;8;Z Purton;60;Irland;6;AS Cruz;57,05;0;9;144;10;Handicap;19373;8650;6684
22.10.2017;Sha Tin;7;1200;Gress;4000000;2;M Chadwick;60;Irland;6;AS Cruz;68,66;0;8;137;36;Handicap;19373;8663;6684
19.11.2017;Sha Tin;7;1200;Gress;4000000;8;M Chadwick;56;Irland;6;AS Cruz;69,81;0;4;136;35;Non-handicap;19373;8663;6684
10.12.2017;Sha Tin;5;1200;Gress;18500000;9;M Chadwick;57;Irland;6;AS Cruz;69,31;1;9;132;23;Non-handicap;19373;8663;6684
01.01.2018;Sha Tin;10;1400;Gress;3000000;10;N Rawiller;58;Irland;7;AS Cruz;82,52;0;11;130;84;Handicap;19373;8654;6684
28.01.2018;Sha Tin;7;1200;Gress;10000000;3;Brett Prebble;57;Irland;7;AS Cruz;70,26;0;7;133;52;Non-handicap;19373;8453;6684
25.02.2018;Sha Tin;9;1400;Gress;10000000;2;Brett Prebble;57;Irland;7;AS Cruz;83,25;0;11;116;99;Non-handicap;19373;8453;6684
11.03.2018;Sha Tin;7;1200;Gress;2500000;4;N Callan;56;Irland;7;AS Cruz;68,61;0;5;135;53;Handicap;19373;8651;6684
08.04.2018;Sha Tin;7;1200;Gress;4000000;6;N Callan;56;Irland;7;AS Cruz;69,42;0;4;137;66;Non-handicap;19373;8651;6684
29.04.2018;Sha Tin;7;1200;Gress;16000000;2;N Callan;57;Irland;7;AS Cruz;69,82;0;6;131;47;Non-handicap;19373;8651;6684
01.10.2017;Sha Tin;7;1000;Gress;3000000;4;Tommy Berry;59;Australia;7;J Moore;56,65;0;2;150;10;Handicap;20799;8609;6535
22.10.2017;Sha Tin;7;1200;Gress;4000000;4;Tommy Berry;59;Australia;7;J Moore;69,14;1;11;133;13;Handicap;20799;8609;6535
19.11.2017;Sha Tin;7;1200;Gress;4000000;9;Tommy Berry;56;Australia;7;J Moore;69,98;1;7;136;31;Non-handicap;20799;8609;6535
10.12.2017;Sha Tin;5;1200;Gress;18500000;10;Tommy Berry;57;Australia;7;J Moore;69,72;2;10;127;34;Non-handicap;20799;8609;6535
07.01.2018;Sha Tin;7;1000;Gress;3000000;6;Tommy Berry;60;Australia;8;J Moore;57,25;0;4;145;11;Handicap;20799;8609;6535
28.01.2018;Sha Tin;7;1200;Gress;10000000;1;Tommy Berry;57;Australia;8;J Moore;70,16;0;6;135;52;Non-handicap;20799;8609;6535
11.03.2018;Sha Tin;7;1200;Gress;2500000;2;M F Poon;55;Australia;8;J Moore;68,78;2;8;135;12;Handicap;20799;8658;6535
08.04.2018;Sha Tin;7;1200;Gress;4000000;5;S Clipperton;56;Australia;8;J Moore;69,5;1;6;139;23;Non-handicap;20799;8653;6535
29.04.2018;Sha Tin;4;1400;Gress;2500000;10;Brett Prebble;60;Australia;8;J Moore;84,01;3;11;122;32;Handicap;20799;8453;6535
01.10.2018;Sha Tin;7;1000;Gress;3250000;7;C Y Ho;51;Australia;8;J Moore;56,46;0;6;132;11;Handicap;20799;8659;6535
21.10.2018;Sha Tin;7;1200;Gress;4250000;4;C Y Ho;52;Australia;8;J Moore;68,65;2;6;135;86;Handicap;20799;8659;6535
25.11.2018;Sha Tin;3;1000;Gress;1950000;9;Silvestre De Sousa;60;Australia;8;J Moore;57,18;0;5;135;7;Handicap;20799;4340;6535
19.12.2018;Sha Tin;7;1200;Dirt;1950000;8;Silvestre De Sousa;59;Australia;8;J Moore;69,78;2;10;115;11;Handicap;20799;4340;6535
10.12.2017;Sha Tin;4;2400;Gress;18000000;8;Ryan Moore;57;Irland;5;A O'Brien;146,63;2;1;151;3,1;Non-handicap;20816;8438;6585
10.12.2017;Sha Tin;3;1400;Gress;2500000;3;N Callan;57;USA;7;F C Lor;81,62;1;5;140;22;Handicap;21512;8651;6726
01.01.2018;Sha Tin;10;1400;Gress;3000000;12;C Schofield;53;USA;8;F C Lor;81,68;4;5;141;47;Handicap;21512;8655;6726
18.02.2018;Sha Tin;8;1400;Gress;2500000;4;C Schofield;59;USA;8;F C Lor;81,06;2;1;142;9,1;Handicap;21512;8655;6726
11.03.2018;Sha Tin;7;1200;Gress;2500000;11;C Schofield;55;USA;8;F C Lor;68,94;4;9;138;12;Handicap;21512;8655;6726
08.04.2018;Sha Tin;7;1200;Gress;4000000;3;C Schofield;56;USA;8;F C Lor;69,55;0;7;136;88;Non-handicap;21512;8655;6726
29.04.2018;Sha Tin;4;1400;Gress;2500000;8;Z Purton;59;USA;8;F C Lor;82,14;1;3;140;11;Handicap;21512;8650;6726
03.09.2017;Sha Tin;3;1200;Gress;2500000;1;M F Poon;50;New Zealand;6;WY So;68,59;0;3;133;4,4;Handicap;21513;8658;6683
01.10.2017;Sha Tin;7;1000;Gress;3000000;3;C Schofield;52;New Zealand;6;WY So;56,94;0;5;136;6,8;Handicap;21513;8655;6683
22.10.2017;Sha Tin;7;1200;Gress;4000000;3;W M Lai;51;New Zealand;6;WY So;68,47;0;5;129;36;Handicap;21513;8674;6683
03.12.2017;Sha Tin;9;1200;Dirt;1860000;10;M F Poon;57;New Zealand;6;WY So;68,15;0;5;129;4;Handicap;21513;8658;6683
20.12.2017;Happy Valley;8;1200;Gress;1860000;2;N Rawiller;60;New Zealand;6;WY So;71,88;0;12;98;10;Handicap;21513;8654;6683
07.01.2018;Sha Tin;7;1000;Gress;3000000;1;W M Lai;51;New Zealand;7;WY So;57,1;0;2;135;62;Handicap;21513;8674;6683
10.02.2018;Sha Tin;10;1200;Gress;1860000;6;Z Purton;60;New Zealand;7;WY So;69,86;2;10;128;9,3;Handicap;21513;8650;6683
11.03.2018;Sha Tin;7;1200;Gress;2500000;9;H N Wong;49;New Zealand;7;WY So;68,4;0;2;129;45;Handicap;21513;8660;6683
28.03.2018;Happy Valley;4;1200;Gress;1860000;7;H N Wong;58;New Zealand;7;WY So;69,83;2;11;124;8,4;Handicap;21513;8660;6683
02.09.2018;Sha Tin;3;1200;Gress;2625000;5;H N Wong;50;New Zealand;7;WY So;69,7;1;7;111;7,1;Handicap;21513;8660;6683
01.10.2018;Sha Tin;7;1000;Gress;3250000;6;G van Niekerk;51;New Zealand;7;WY So;57;0;7;122;29;Handicap;21513;8831;6683
10.10.2018;Happy Valley;7;1000;Gress;1950000;5;H T Mo;58;New Zealand;7;WY So;58,24;4;11;124;21;Handicap;21513;8657;6683
28.10.2018;Happy Valley;10;1200;Gress;1950000;3;C Schofield;60;New Zealand;7;WY So;71;1;9;130;46;Handicap;21513;8655;6683
19.12.2018;Sha Tin;7;1200;Dirt;1950000;4;A Badel;55;New Zealand;7;R Gibson;69,36;2;9;117;33;Handicap;21513;8665;6694
06.01.2019;Sha Tin;3;1000;Gress;3250000;1;M Chadwick;51;New Zealand;8;R Gibson;57,29;0;6;124;99;Handicap;21513;8663;6694
30.01.2019;Happy Valley;8;1200;Gress;1950000;10;M Chadwick;58;New Zealand;8;R Gibson;70,36;0;5;127;93;Handicap;21513;8663;6694
24.02.2019;Sha Tin;7;1000;Gress;1950000;4;C Schofield;56;New Zealand;8;R Gibson;57,57;0;10;118;37;Handicap;21513;8655;6694
27.03.2019;Happy Valley;7;1000;Gress;1950000;6;H T Mo;53;New Zealand;8;R Gibson;57,09;3;3;128;35;Handicap;21513;8657;6694
11.05.2019;Sha Tin;9;1000;Gress;1950000;7;C Wong;49;New Zealand;8;R Gibson;55,92;0;9;117;41;Handicap;21513;8774;6694
04.02.2018;Sha Tin;10;1400;Gress;1310000;1;Douglas Whyte;59;Great Britain;4;CH Yip;82,72;0;11;122;80;Handicap;21523;8446;6687
21.02.2018;Happy Valley;9;1650;Gress;1310000;1;Douglas Whyte;59;Great Britain;4;CH Yip;100,8;2;3;126;86;Handicap;21523;8446;6687
03.03.2018;Sha Tin;7;1800;Gress;1860000;10;Douglas Whyte;54;Great Britain;4;CH Yip;107,44;2;4;128;8,1;Handicap;21523;8446;6687
18.03.2018;Sha Tin;8;2000;Gress;18000000;1;Douglas Whyte;57;Great Britain;4;CH Yip;122,05;0;7;132;99;Non-handicap;21523;8446;6687
06.05.2018;Sha Tin;9;2000;Gress;1310000;7;Douglas Whyte;59;Great Britain;4;CH Yip;123,05;5;9;120;8,6;Handicap;21523;8446;6687
10.10.2018;Happy Valley;6;1200;Gress;1380000;2;Douglas Whyte;58;Great Britain;4;CH Yip;70,92;2;10;122;14;Handicap;21523;8446;6687
28.10.2018;Happy Valley;9;1650;Gress;1380000;10;Douglas Whyte;58;Great Britain;4;CH Yip;101,36;5;1;135;11;Handicap;21523;8446;6687
05.12.2018;Happy Valley;9;1800;Gress;1950000;2;Douglas Whyte;54;Great Britain;4;CH Yip;109,71;1;4;126;6,6;Handicap;21523;8446;6687
26.12.2018;Happy Valley;8;1650;Gress;1950000;2;C Y Ho;52;Great Britain;4;CH Yip;100,54;0;5;119;12;Handicap;21523;8659;6687
30.01.2019;Happy Valley;6;1800;Gress;1950000;8;Douglas Whyte;54;Great Britain;5;CH Yip;111,1;3;4;126;5,6;Handicap;21523;8446;6687
13.02.2019;Happy Valley;8;1650;Gress;1380000;6;Z Purton;59;Great Britain;5;CH Yip;100,57;3;4;128;5,8;Handicap;21523;8650;6687
17.03.2019;Sha Tin;6;2000;Gress;1380000;7;Z Purton;59;Great Britain;5;CH Yip;122,19;1;1;129;7;Handicap;21523;8650;6687
07.04.2019;Sha Tin;9;2000;Gress;2625000;2;C Wong;49;Great Britain;5;CH Yip;121,12;1;12;116;15;Handicap;21523;8774;6687
08.05.2019;Sha Tin;6;1650;Dirt;1950000;1;U Rispoli;55;Great Britain;5;CH Yip;101;0;9;107;16;Handicap;21523;8662;6687
09.10.2019;Happy Valley;7;1650;Gress;2100000;8;R Bayliss;56;Great Britain;5;D Whyte;102,09;3;10;109;18;Handicap;21523;8864;6996
23.10.2019;Happy Valley;4;1650;Gress;2100000;8;A Sanna;56;Great Britain;5;D Whyte;101,15;1;7;114;42;Handicap;21523;8672;6996
04.12.2019;Happy Valley;8;1800;Gress;2520000;9;Oisin Murphy;55;Great Britain;5;D Whyte;109,5;3;4;129;55;Handicap;21523;8393;6996
26.12.2019;Happy Valley;8;1650;Gress;2100000;9;L Hewitson;54;Great Britain;5;D Whyte;100,34;3;6;126;24;Handicap;21523;9094;6996
11.01.2020;Sha Tin;10;1600;Gress;2100000;5;L Hewitson;54;Great Britain;6;D Whyte;94,75;2;12;121;55;Handicap;21523;9094;6996
27.01.2020;Sha Tin;7;2000;Gress;1450000;13;L Hewitson;60;Great Britain;6;D Whyte;121,98;4;6;127;25;Handicap;21523;9094;6996
26.02.2020;Happy Valley;8;1650;Gress;1450000;9;K Teetan;57;Great Britain;6;D Whyte;99,77;5;8;128;12;Handicap;21523;8652;6996
11.03.2020;Happy Valley;8;1800;Gress;1450000;3;Blake Shinn;58;Great Britain;6;D Whyte;110,33;6;11;128;13;Handicap;21523;8778;6996
08.04.2020;Happy Valley;7;1650;Gress;1450000;11;M Chadwick;59;Great Britain;6;D Whyte;100,22;0;6;121;31;Handicap;21523;8663;6996
03.05.2020;Sha Tin;8;2000;Gress;1450000;5;M Chadwick;57;Great Britain;6;D Whyte;121,37;1;6;120;9,1;Handicap;21523;8663;6996
13.05.2020;Happy Valley;8;1800;Gress;1450000;8;Z Purton;56;Great Britain;6;D Whyte;109,19;1;4;120;5,5;Handicap;21523;8650;6996
14.06.2020;Sha Tin;7;1800;Gress;1450000;7;A Hamelin;56;Great Britain;6;D Whyte;107,82;2;7;120;8,7;Handicap;21523;9111;6996
10.12.2017;Sha Tin;5;1200;Gress;18500000;13;Francois-Xavier Bertras;57;Great Britain;5;D Guillemin;69,22;1;8;133;99;Non-handicap;21556;8600;6641
10.12.2017;Sha Tin;7;1600;Gress;23000000;11;Ryan Moore;57;USA;3;A O'Brien;94,24;3;5;144;15;Non-handicap;21582;8438;6585
01.10.2017;Sha Tin;7;1000;Gress;3000000;10;Brett Prebble;59;New Zealand;6;J Size;56,99;0;8;143;18;Handicap;21587;8453;6650
22.10.2017;Sha Tin;7;1200;Gress;4000000;9;Brett Prebble;59;New Zealand;6;J Size;68,27;0;3;142;41;Handicap;21587;8453;6650
19.11.2017;Sha Tin;7;1200;Gress;4000000;3;Brett Prebble;56;New Zealand;6;J Size;69,57;3;2;145;12;Non-handicap;21587;8453;6650
10.12.2017;Sha Tin;5;1200;Gress;18500000;6;Brett Prebble;57;New Zealand;6;J Size;68,88;5;5;145;18;Non-handicap;21587;8453;6650
11.03.2018;Sha Tin;7;1200;Gress;2500000;1;Brett Prebble;60;New Zealand;7;J Size;68,3;0;1;145;4,9;Handicap;21587;8453;6650
08.04.2018;Sha Tin;7;1200;Gress;4000000;8;Brett Prebble;56;New Zealand;7;J Size;69,84;3;8;138;10;Non-handicap;21587;8453;6650
29.04.2018;Sha Tin;7;1200;Gress;16000000;8;Olivier Doleuze;57;New Zealand;7;J Size;69,89;2;7;135;41;Non-handicap;21587;8449;6650
09.12.2018;Sha Tin;7;1600;Gress;25000000;7;William Buick;55;Japan;5;Y Tomomichi;93,99;4;2;151;58;Non-handicap;21609;4342;6659
10.12.2017;Sha Tin;8;2000;Gress;25000000;2;Ryan Moore;57;Irland;4;A O'Brien;123,08;1;11;137;11;Non-handicap;21612;8438;6585
10.09.2017;Sha Tin;5;1400;Gress;880000;5;Joao Moreira;60;Australia;6;WY So;82,15;1;2;133;2,5;Handicap;21838;8443;6683
01.10.2017;Sha Tin;4;1400;Gress;880000;3;Joao Moreira;60;Australia;6;WY So;82,51;2;1;125;2;Handicap;21838;8443;6683
14.10.2017;Sha Tin;10;1400;Gress;1310000;4;H N Wong;52;Australia;6;WY So;83,23;0;12;105;13;Handicap;21838;8660;6683
11.11.2017;Sha Tin;10;1400;Gress;1310000;7;W M Lai;54;Australia;6;WY So;82,99;4;13;117;88;Handicap;21838;8674;6683
13.12.2017;Happy Valley;7;1650;Gress;1310000;5;W M Lai;55;Australia;6;WY So;100,44;0;10;114;93;Handicap;21838;8674;6683
01.01.2018;Sha Tin;8;1400;Gress;1310000;13;K C Ng;53;Australia;7;WY So;84,04;5;12;103;99;Handicap;21838;8669;6683
21.01.2018;Sha Tin;10;1400;Gress;1310000;8;C Y Ho;52;Australia;7;WY So;83,76;3;12;112;99;Handicap;21838;8659;6683
04.02.2018;Sha Tin;8;1400;Gress;1310000;6;W M Lai;52;Australia;7;WY So;82,84;3;9;113;99;Handicap;21838;8674;6683
18.02.2018;Sha Tin;11;1400;Gress;1310000;8;K C Ng;50;Australia;7;WY So;82,8;3;9;113;99;Handicap;21838;8669;6683
25.03.2018;Sha Tin;3;1400;Gress;880000;12;H N Wong;57;Australia;7;WY So;82,38;1;4;118;16;Handicap;21838;8660;6683
15.04.2018;Sha Tin;5;1400;Gress;880000;8;H N Wong;57;Australia;7;WY So;84,91;2;14;100;6,7;Handicap;21838;8660;6683
12.05.2018;Sha Tin;4;1400;Gress;880000;9;C Wong;55;Australia;7;WY So;84,01;0;12;96;11;Handicap;21838;8774;6683
02.09.2018;Sha Tin;6;1400;Gress;920000;12;Douglas Whyte;55;Australia;7;WY So;82,45;1;4;113;9,3;Handicap;21838;8446;6683
22.09.2018;Sha Tin;5;1400;Gress;920000;2;K C Leung;56;Australia;7;WY So;81,38;0;1;125;12;Handicap;21838;8656;6683
06.09.2017;Happy Valley;1;1200;Gress;660000;10;Douglas Whyte;60;Australia;6;DE Ferraris;70,92;3;5;116;7,6;Handicap;21839;8446;6688
24.09.2017;Sha Tin;2;1200;Dirt;660000;12;Douglas Whyte;60;Australia;6;DE Ferraris;71,09;3;5;114;10;Handicap;21839;8446;6688
01.11.2017;Sha Tin;1;1200;Dirt;660000;3;Douglas Whyte;60;Australia;6;DE Ferraris;70,46;0;2;109;2,7;Handicap;21839;8446;6688
22.11.2017;Happy Valley;1;1200;Gress;660000;1;Douglas Whyte;60;Australia;6;DE Ferraris;70,64;0;3;109;3,7;Handicap;21839;8446;6688
13.12.2017;Happy Valley;1;1650;Gress;660000;8;Douglas Whyte;60;Australia;6;DE Ferraris;102,06;4;10;109;11;Handicap;21839;8446;6688
10.01.2018;Happy Valley;1;1000;Gress;660000;7;Douglas Whyte;59;Australia;7;DE Ferraris;58,41;3;4;113;14;Handicap;21839;8446;6688
08.10.2017;Sha Tin;1;1000;Gress;880000;9;Brett Prebble;55;Japan;3;WY So;58,6;0;9;90;49;Handicap;21840;8453;6683
22.10.2017;Sha Tin;5;1400;Gress;880000;3;C Y Ho;57;Japan;3;WY So;85,29;0;13;90;99;Handicap;21840;8659;6683
03.09.2017;Sha Tin;4;1200;Gress;880000;11;K Teetan;57;Australia;4;KL Man;71,24;1;8;105;99;Handicap;21841;8652;6693
24.09.2017;Sha Tin;3;1200;Gress;880000;7;K Teetan;55;Australia;4;KL Man;72,16;2;14;85;99;Handicap;21841;8652;6693
22.10.2017;Sha Tin;5;1400;Gress;880000;1;M L Yeung;54;Australia;4;KL Man;84,97;0;12;90;99;Handicap;21841;8661;6693
14.02.2018;Happy Valley;2;1200;Gress;660000;6;A Badel;60;Australia;5;KL Man;71,71;0;7;102;99;Handicap;21841;8665;6693
11.03.2018;Sha Tin;1;1400;Gress;660000;12;Olivier Doleuze;59;Australia;5;KL Man;83,59;3;12;101;53;Handicap;21841;8449;6693
08.04.2018;Sha Tin;2;1800;Dirt;660000;2;K C Ng;57;Australia;5;KL Man;114,49;1;12;71;99;Handicap;21841;8669;6693
21.10.2018;Sha Tin;5;1400;Gress;920000;12;C Y Ho;54;Australia;5;C Fownes;82,44;3;2;119;9,9;Handicap;21842;8659;6529
04.11.2018;Sha Tin;4;1600;Gress;920000;12;Z Purton;57;Australia;5;C Fownes;96,24;4;6;114;5,7;Handicap;21842;8650;6529
12.01.2019;Sha Tin;5;1400;Gress;920000;8;C Y Ho;55;Australia;6;C Fownes;82,89;2;4;113;8,4;Handicap;21842;8659;6529
20.02.2019;Happy Valley;3;1200;Gress;920000;1;M Chadwick;55;Australia;6;C Fownes;70,41;0;5;106;5,4;Handicap;21842;8663;6529
23.11.2019;Sha Tin;6;1400;Gress;967000;3;C Y Ho;53;Australia;6;C Fownes;83,17;0;12;92;8,6;Handicap;21842;8659;6529
18.12.2019;Happy Valley;2;1000;Gress;967000;6;H T Mo;51;Australia;6;C Fownes;57,65;3;7;109;57;Handicap;21842;8657;6529
01.04.2020;Sha Tin;1;1200;Dirt;725000;4;C Y Ho;60;Australia;7;C Fownes;70,41;2;4;108;6;Handicap;21842;8659;6529
29.10.2017;Happy Valley;4;1200;Gress;880000;11;C Y Ho;54;Australia;4;J Size;71,58;4;11;106;99;Handicap;21843;8659;6650
15.11.2017;Happy Valley;5;1200;Gress;880000;3;M Chadwick;53;Australia;4;J Size;71,53;1;9;101;75;Handicap;21843;8663;6650
06.12.2017;Happy Valley;7;1650;Gress;1056000;3;Cristian Demuro;53;Australia;4;J Size;103,01;0;12;90;43;Handicap;21843;8454;6650
16.09.2017;Sha Tin;8;1200;Gress;1310000;6;K C Leung;52;Irland;5;P O'Sullivan;69,25;2;4;121;43;Handicap;21844;8656;6691
11.10.2017;Happy Valley;6;1650;Gress;1310000;1;K C Leung;52;Irland;5;P O'Sullivan;100,42;0;3;117;4,9;Handicap;21844;8656;6691
08.11.2017;Happy Valley;6;1650;Gress;1310000;7;K C Leung;52;Irland;5;P O'Sullivan;101,32;0;6;115;11;Handicap;21844;8656;6691
29.11.2017;Happy Valley;8;1800;Gress;1310000;8;K Teetan;53;Irland;5;P O'Sullivan;110,59;5;4;125;17;Handicap;21844;8652;6691
01.01.2018;Sha Tin;9;1800;Gress;1310000;11;K Teetan;53;Irland;6;P O'Sullivan;108,81;3;4;119;15;Handicap;21844;8652;6691
04.02.2018;Sha Tin;5;1800;Gress;1310000;2;K Teetan;54;Irland;6;P O'Sullivan;107,88;1;2;123;7,2;Handicap;21844;8652;6691
21.02.2018;Happy Valley;7;1800;Gress;1310000;8;K Teetan;54;Irland;6;P O'Sullivan;110,29;4;2;125;6,9;Handicap;21844;8652;6691
28.03.2018;Happy Valley;8;1800;Gress;1310000;2;A Sanna;53;Irland;6;P O'Sullivan;109,28;0;4;115;7,6;Handicap;21844;8672;6691
18.04.2018;Happy Valley;8;1650;Gress;1310000;12;K Teetan;53;Irland;6;P O'Sullivan;100,53;1;9;115;19;Handicap;21844;8652;6691
09.05.2018;Happy Valley;6;1650;Gress;1310000;5;M Chadwick;52;Irland;6;P O'Sullivan;100,81;1;1;121;13;Handicap;21844;8663;6691
31.10.2018;Sha Tin;7;1650;Dirt;1380000;9;M Chadwick;54;Irland;6;P O'Sullivan;99,41;3;5;123;30;Handicap;21844;8663;6691
21.11.2018;Happy Valley;7;1650;Gress;1380000;4;M Chadwick;54;Irland;6;P O'Sullivan;101,38;5;10;117;13;Handicap;21844;8663;6691
09.12.2018;Sha Tin;3;1800;Gress;1380000;1;K C Leung;54;Irland;6;P O'Sullivan;108,75;0;10;112;62;Handicap;21844;8656;6691
26.12.2018;Happy Valley;7;1650;Gress;1380000;9;H N Wong;52;Irland;6;P O'Sullivan;101,5;2;11;108;99;Handicap;21844;8660;6691
16.01.2019;Happy Valley;8;1650;Gress;1380000;8;H T Mo;49;Irland;7;P O'Sullivan;100,27;0;6;115;99;Handicap;21844;8657;6691
13.02.2019;Happy Valley;4;1650;Gress;920000;7;H T Mo;58;Irland;7;P O'Sullivan;100,97;1;9;114;16;Handicap;21844;8657;6691
13.03.2019;Happy Valley;5;1650;Gress;920000;12;N Callan;59;Irland;7;P O'Sullivan;100,85;4;2;120;24;Handicap;21844;8651;6691
10.04.2019;Happy Valley;3;1650;Gress;920000;12;N Callan;60;Irland;7;P O'Sullivan;100,61;1;4;115;15;Handicap;21844;8651;6691
01.05.2019;Happy Valley;4;1650;Gress;920000;7;N Callan;60;Irland;7;P O'Sullivan;100,23;0;3;118;6,9;Handicap;21844;8651;6691
22.05.2019;Happy Valley;5;1650;Gress;920000;10;N Callan;60;Irland;7;P O'Sullivan;100,17;3;1;122;8,4;Handicap;21844;8651;6691
26.06.2019;Happy Valley;6;1650;Gress;1380000;1;M Chadwick;54;Irland;7;P O'Sullivan;99,43;0;3;117;10;Handicap;21844;8663;6691
16.10.2019;Happy Valley;8;1650;Gress;1450000;2;M Chadwick;54;Irland;7;P O'Sullivan;101,49;0;9;104;10;Handicap;21844;8663;6691
06.11.2019;Happy Valley;7;1650;Gress;1450000;5;M Chadwick;54;Irland;7;P O'Sullivan;100,31;0;5;115;25;Handicap;21844;8663;6691
27.11.2019;Happy Valley;8;1800;Gress;1450000;3;M Chadwick;54;Irland;7;P O'Sullivan;109,82;0;11;111;26;Handicap;21844;8663;6691
18.12.2019;Happy Valley;7;1650;Gress;1450000;9;M Chadwick;54;Irland;7;P O'Sullivan;99,57;1;3;115;35;Handicap;21844;8663;6691
08.01.2020;Happy Valley;5;1650;Gress;967000;11;M Chadwick;60;Irland;8;P O'Sullivan;100,82;1;6;115;21;Handicap;21844;8663;6691
29.01.2020;Happy Valley;5;1800;Gress;967000;3;N Callan;60;Irland;8;P O'Sullivan;109,37;2;5;121;24;Handicap;21844;8651;6691
12.02.2020;Happy Valley;4;1800;Gress;967000;6;N Callan;60;Irland;8;P O'Sullivan;108,1;2;1;127;22;Handicap;21844;8651;6691
26.02.2020;Happy Valley;6;2200;Gress;1450000;10;K C Leung;54;Irland;8;P O'Sullivan;137,41;2;8;116;35;Handicap;21844;8656;6691
11.03.2020;Happy Valley;8;1800;Gress;1450000;7;M Chadwick;54;Irland;8;P O'Sullivan;109,84;3;3;124;32;Handicap;21844;8663;6691
01.04.2020;Sha Tin;7;1800;Dirt;1450000;12;M Chadwick;55;Irland;8;P O'Sullivan;108,7;5;7;121;36;Handicap;21844;8663;6691
29.04.2020;Happy Valley;8;1650;Gress;1450000;1;N Callan;54;Irland;8;P O'Sullivan;99,65;0;1;120;7,9;Handicap;21844;8651;6691
13.05.2020;Happy Valley;8;1800;Gress;1450000;6;N Callan;57;Irland;8;P O'Sullivan;109,63;3;8;120;13;Handicap;21844;8651;6691
16.09.2017;Sha Tin;9;1000;Gress;1310000;12;M Chadwick;57;Great Britain;5;L Ho;57,55;0;9;117;29;Handicap;21845;8663;6689
